2022-10-27 21:34:09.7964 | 搬运1净化管到拧盖3 
2022-10-27 21:36:20.3907 | 从拧盖3搬运1净化管到移栽 
2022-10-27 22:44:55.8712 | 搬运1净化管到拧盖3 
2022-10-27 22:45:36.3929 | 从拧盖3搬运1净化管到移栽 
2022-10-27 22:48:00.3747 | 从移栽搬运1净化管到拧盖3 
2022-10-27 22:48:50.6285 | 从拧盖3搬运1净化管到振荡 
2022-10-27 22:50:26.0591 | 从振荡搬运1净化管到试管架 
2022-10-27 22:50:54.5993 | 搬运1净化管到移栽 
2022-10-27 22:58:01.9518 | 从移栽搬运1净化管到试管架 
2022-10-27 22:58:34.0536 | 从西林瓶架搬运1西林瓶到拧盖4 
2022-10-27 22:59:14.6691 | 从拧盖4搬运1西林瓶到称重 
2022-10-27 23:00:21.8876 | 搬运1净化管到拧盖3 
2022-10-27 23:01:01.8001 | 提取浓缩液1移液-2ml 
2022-10-27 23:03:03.2735 | 从拧盖3搬运1净化管到净化管架 
2022-10-27 23:03:34.2506 | 从拧盖4搬运1西林瓶到浓缩 
2022-10-27 23:09:14.8736 | 从浓缩搬运1西林瓶到称重 
2022-10-27 23:10:19.5927 | 从浓缩搬运1西林瓶到拧盖4 
2022-10-27 23:10:59.1147 | 从拧盖4搬运1西林瓶到西林瓶架 
